id,date,treeId,species,address,activitiesDone,durationMinutes,scrapedAt
83531,2026-03-24,14051588,American elm,484 East Houston Street,Weeded; Managed Soil; Mulched; Cleared Litter/Waste,20,2026-03-27
83532,2026-03-24,15218033,Unknown,484 E Houston St,Cleared Litter/Waste,10,2026-03-27
83533,2026-03-24,2122382,thornless honeylocust,484 East Houston Street,Cleared Litter/Waste,10,2026-03-27
83524,2026-03-24,14051588,American elm,484 East Houston Street,Weeded; Managed Soil; Mulched; Cleared Litter/Waste,20,2026-03-27
83525,2026-03-24,14051576,pin oak,500 East Houston Street,Weeded; Managed Soil; Cleared Litter/Waste,20,2026-03-27
41549,2022-09-24,6582163,,,Mulched; Weeded; Cleared Litter/Waste; Managed Soil,15,2026-03-30
72494,2025-05-15,2139923,,,Cleared Litter/Waste; Managed Soil,10,2026-03-30
58068,2024-04-16,2137214,,,Cleared Litter/Waste; Managed Soil,20,2026-03-30
81808,2025-12-09,13851725,,,Cleared Litter/Waste,5,2026-03-30
34485,2021-11-13,4612428,,,Landscaped/Planted Flowers; Cleared Litter/Waste; Weeded; Managed Soil,20,2026-03-30
6663,2017-10-14,1425923,,,Weeded; Managed Soil; Cleared Litter/Waste,30,2026-03-30
9184,2018-04-04,1387261,,,Weeded; Managed Soil; Cleared Litter/Waste,15,2026-03-30
83980,2026-03-30,2110975,,,Cleared Litter/Waste,5,2026-03-30
71544,2025-05-03,2125464,,,Mulched; Managed Soil; Weeded; Cleared Litter/Waste,20,2026-03-30
83016,2026-03-12,2116172,,,Cleared Litter/Waste,5,2026-03-30
83594,2026-03-22,220508,,,Cleared Litter/Waste,5,2026-03-30
40956,2022-08-26,2118691,,,Mulched; Managed Soil; Weeded; Cleared Litter/Waste,10,2026-03-30
34482,2021-11-13,4613519,,,Managed Soil; Landscaped/Planted Flowers; Cleared Litter/Waste; Weeded,20,2026-03-30
72510,2025-05-15,13377139,,,Mulched; Weeded; Cleared Litter/Waste; Managed Soil,15,2026-03-30
76767,2025-08-12,13862668,,,Watered; Cleared Litter/Waste; Landscaped/Planted Flowers,15,2026-03-30
76983,2025-08-16,15197139,,,Cleared Litter/Waste; Watered; Weeded; Managed Soil,15,2026-03-30
27535,2020-11-07,3650425,,,Pruning; Cleared Litter/Waste; Weeded,15,2026-03-30
72504,2025-05-15,2139913,,,Mulched; Weeded; Cleared Litter/Waste; Managed Soil,10,2026-03-30
83599,2026-03-22,2114530,,,Cleared Litter/Waste,5,2026-03-30
83539,2026-03-24,2122383,,,Cleared Litter/Waste,10,2026-03-30
61391,2024-06-07,2116194,,,Weeded; Cleared Litter/Waste; Managed Soil,60,2026-03-30
6644,2017-10-14,1420902,,,Weeded; Managed Soil; Cleared Litter/Waste,30,2026-03-30
6631,2017-10-14,1423432,,,Weeded; Managed Soil; Cleared Litter/Waste,30,2026-03-30
42555,2022-11-04,1426706,,,Mulched; Managed Soil; Cleared Litter/Waste,15,2026-03-30
73458,2025-06-11,2143732,,,Weeded; Cleared Litter/Waste; Managed Soil; Watered,15,2026-03-30
6703,2017-10-18,2137216,,,Weeded; Managed Soil; Mulched; Cleared Litter/Waste,30,2026-03-30
11954,2018-08-16,4598990,,,Weeded; Managed Soil; Mulched; Cleared Litter/Waste,30,2026-03-30
17567,2019-04-24,1387259,,,Cleared Litter/Waste; Managed Soil; Weeded,15,2026-03-30
83689,2026-03-22,2121925,,,Cleared Litter/Waste,5,2026-03-30
23046,2019-10-30,3658665,,,Cleared Litter/Waste; Managed Soil; Mulched; Watered; Weeded,15,2026-03-30
78921,2025-10-04,15197100,,,Cleared Litter/Waste,10,2026-03-30
25209,2020-03-21,3648487,,,Pruning; Cleared Litter/Waste; Managed Soil,15,2026-03-30
41943,2022-10-15,2112698,,,Mulched; Landscaped/Planted Flowers; Weeded; Cleared Litter/Waste; Managed Soil,15,2026-03-30
40650,2022-08-10,2122603,,,Cleared Litter/Waste; Weeded,15,2026-03-30
