id,address,borough,area,species,latitude,longitude,geocodedAddress,geocodedAt
1,645 Water Street,Manhattan,Lower East Side / Chinatown,red oak,,,,
2,645 Water Street,Manhattan,Lower East Side / Chinatown,littleleaf linden,,,,
3,645 Water Street,Manhattan,Lower East Side / Chinatown,serviceberry,,,,
4,645 Water Street,Manhattan,Lower East Side / Chinatown,Sargent cherry,,,,
5,645 Water Street,Manhattan,Lower East Side / Chinatown,Peking lilac,,,,
6,415 Grand Street,Manhattan,Lower East Side / Chinatown,chestnut oak,,,,
7,415 Grand Street,Manhattan,Lower East Side / Chinatown,white oak,,,,
8,271 Henry Street,Manhattan,Lower East Side / Chinatown,serviceberry,,,,
9,296 E 4th Street,Manhattan,East Village,Daimyo oak,,,,
10,601 E 6th Street,Manhattan,East Village,silver linden,,,,
11,74 Avenue A,Manhattan,East Village,Kentucky coffeetree,,,,
12,649 E 9th Street,Manhattan,East Village,chestnut oak,,,,
13,420 E 12th Street,Manhattan,East Village,swamp white oak,,,,
14,420 E 12th Street,Manhattan,East Village,American linden,,,,
15,438 E 12th Street,Manhattan,East Village,red oak,,,,
16,437 E 12th Street,Manhattan,East Village,silver linden,,,,
17,136 E 26th Street,Manhattan,Farther north,Hungarian oak,,,,
18,545 3rd Avenue,Manhattan,Farther north,Peking lilac,,,,
19,1039 2nd Avenue,Manhattan,Farther north,American linden,,,,
20,1039 2nd Avenue,Manhattan,Farther north,Kentucky coffeetree,,,,
21,351 E 51st Street,Manhattan,Farther north,bur oak,,,,
22,351 E 51st Street,Manhattan,Farther north,serviceberry,,,,
